   i     x           U           V           Trad/T_H    Tmat/T_H
   23  4.500000E+00  1.016055E-02  7.645108E-03  3.174895E-01  2.956963E-01
   24  4.700000E+00  7.766694E-03  5.763770E-03  2.968650E-01  2.755349E-01
   25  4.900000E+00  5.901828E-03  4.319612E-03  2.771703E-01  2.563664E-01
   26  5.100000E+00  4.458623E-03  3.218347E-03  2.584046E-01  2.381816E-01
   27  5.300000E+00  3.348956E-03  2.383977E-03  2.405622E-01  2.209660E-01
   28  5.500000E+00  2.501169E-03  1.755852E-03  2.236329E-01  2.047019E-01
   29  5.700000E+00  1.857503E-03  1.285934E-03  2.076024E-01  1.893672E-01
   30  5.900000E+00  1.371815E-03  9.365340E-04  1.924526E-01  1.749367E-01
   31  6.100000E+00  1.007550E-03  6.783125E-04  1.781627E-01  1.613829E-01
   32  6.300000E+00  7.359821E-04  4.886124E-04  1.647088E-01  1.486761E-01
   33  6.500000E+00  5.347077E-04  3.500554E-04  1.520649E-01  1.367837E-01
   34  6.700000E+00  3.864044E-04  2.494586E-04  1.402040E-01  1.256752E-01
   35  6.900000E+00  2.777553E-04  1.768333E-04  1.290968E-01  1.153164E-01
   36  7.100000E+00  1.986083E-04  1.246983E-04  1.187133E-01  1.056733E-01
   37  7.300000E+00  1.412754E-04  8.748195E-05  1.090226E-01  9.671183E-02
   38  7.500000E+00  9.997441E-05  6.106227E-05  9.999360E-02  8.839816E-02
   39  7.700000E+00  7.038565E-05  4.240135E-05  9.159485E-02  8.069468E-02
   40  7.900000E+00  4.929752E-05  2.929878E-05  8.379272E-02  7.357197E-02
   41  8.100000E+00  3.435597E-05  2.015161E-05  7.655976E-02  6.700041E-02
   42  8.300000E+00  2.382360E-05  1.379773E-05  6.986375E-02  6.094694E-02
   43  8.500000E+00  1.643869E-05  9.407782E-06  6.367468E-02  5.538241E-02
   44  8.700000E+00  1.128798E-05  6.390981E-06  5.796343E-02  5.027961E-02
   45  8.900000E+00  7.714427E-06  4.320259E-06  5.270186E-02  4.559083E-02
   46  9.100000E+00  5.248109E-06  2.918204E-06  4.786309E-02  4.133129E-02
   47  9.300000E+00  3.549017E-06  1.964441E-06  4.340373E-02  3.743775E-02
   48  9.500000E+00  2.392106E-06  1.326691E-06  3.932739E-02  3.393848E-02
   49  9.700000E+00  1.606039E-06  9.003845E-07  3.559910E-02  3.080399E-02
   50  9.900000E+00  1.074786E-06  6.172311E-07  3.219812E-02  2.802928E-02
   51  1.010000E+01  7.177047E-07  4.218241E-07  2.910626E-02  2.548489E-02
   52  1.030000E+01  4.790631E-07  2.993802E-07  2.630863E-02  2.339138E-02
   53  1.050000E+01  3.205543E-07  2.200363E-07  2.379444E-02  2.165826E-02
   54  1.070000E+01  2.098638E-07  1.631813E-07  2.140348E-02  2.009868E-02
   55  1.090000E+01  1.408712E-07  1.308034E-07  1.937339E-02  1.901756E-02
   56  1.110000E+01  9.594044E-08  1.108501E-07  1.759950E-02  1.824669E-02
   57  1.130000E+01  6.697525E-08  9.904846E-08  1.608713E-02  1.774034E-02
   58  1.150000E+01  4.855957E-08  8.369529E-08  1.484461E-02  1.700886E-02
   59  1.170000E+01  3.709111E-08  8.039574E-08  1.387770E-02  1.683869E-02
   60  1.190000E+01  3.018612E-08  7.938064E-08  1.318111E-02  1.678528E-02
   61  1.210000E+01  2.004352E-08  7.364224E-08  1.189853E-02  1.647334E-02
   62  1.230000E+01  1.757335E-08  7.461749E-08  1.151367E-02  1.652761E-02
   63  1.250000E+01  1.636720E-08  7.624706E-08  1.131081E-02  1.661712E-02
   64  1.270000E+01  1.599257E-08  6.961830E-08  1.124552E-02  1.624355E-02
   65  1.290000E+01  1.617261E-08  7.172085E-08  1.127704E-02  1.636482E-02
   66  1.310000E+01  1.673104E-08  7.406144E-08  1.137315E-02  1.649674E-02
   67  1.330000E+01  1.755710E-08  7.659314E-08  1.151100E-02  1.663594E-02
   68  1.350000E+01  1.858190E-08  7.928853E-08  1.167542E-02  1.678041E-02
   69  1.370000E+01  1.304176E-08  7.541120E-08  1.068647E-02  1.657139E-02
   70  1.390000E+01  1.383578E-08  7.787765E-08  1.084553E-02  1.670526E-02
   71  1.410000E+01  1.471265E-08  7.166196E-08  1.101343E-02  1.636146E-02
   72  1.430000E+01  1.566417E-08  7.404497E-08  1.118734E-02  1.649582E-02
   73  1.450000E+01  1.668713E-08  7.652403E-08  1.136568E-02  1.663219E-02
   74  1.470000E+01  1.778080E-08  7.910175E-08  1.154750E-02  1.677052E-02
   75  1.490000E+01  1.894559E-08  8.178157E-08  1.173214E-02  1.691079E-02
   76  1.510000E+01  1.357662E-08  7.796024E-08  1.079439E-02  1.670969E-02
   77  1.530000E+01  1.441997E-08  8.038555E-08  1.095825E-02  1.683815E-02
   78  1.550000E+01  1.531278E-08  7.408820E-08  1.112406E-02  1.649823E-02
   79  1.570000E+01  1.625703E-08  7.641020E-08  1.129172E-02  1.662600E-02
   80  1.590000E+01  1.725545E-08  7.881553E-08  1.146124E-02  1.675533E-02
   81  1.610000E+01  1.831232E-08  8.130992E-08  1.163284E-02  1.688635E-02
   82  1.630000E+01  1.942827E-08  8.389443E-08  1.180616E-02  1.701897E-02
   83  1.650000E+01  2.060681E-08  8.657393E-08  1.198127E-02  1.715326E-02
   84  1.670000E+01  1.497850E-08  8.247953E-08  1.106285E-02  1.694675E-02
   85  1.690000E+01  1.584078E-08  8.490977E-08  1.121874E-02  1.707023E-02
   86  1.710000E+01  1.674843E-08  7.836840E-08  1.137610E-02  1.673151E-02
   87  1.730000E+01  1.770452E-08  8.069258E-08  1.153509E-02  1.685421E-02
   88  1.750000E+01  1.871144E-08  8.309608E-08  1.169572E-02  1.697834E-02
   89  1.770000E+01  1.977169E-08  8.558285E-08  1.185799E-02  1.710396E-02
   90  1.790000E+01  2.088787E-08  8.815557E-08  1.202191E-02  1.723108E-02
   91  1.810000E+01  2.206343E-08  9.081878E-08  1.218760E-02  1.735977E-02
   92  1.830000E+01  1.625061E-08  8.652581E-08  1.129061E-02  1.715088E-02
   93  1.850000E+01  1.712029E-08  7.996948E-08  1.143873E-02  1.681632E-02
   94  1.870000E+01  1.803289E-08  8.221160E-08  1.158821E-02  1.693298E-02
   95  1.890000E+01  1.899129E-08  8.453001E-08  1.173920E-02  1.705111E-02
   96  1.910000E+01  1.999674E-08  8.691987E-08  1.189159E-02  1.717037E-02
   97  1.930000E+01  2.105274E-08  8.937017E-08  1.204556E-02  1.729013E-02
   98  1.950000E+01  2.216072E-08  9.193905E-08  1.220102E-02  1.741306E-02
   99  1.970000E+01  2.332358E-08  9.457389E-08  1.235802E-02  1.753650E-02
  100  1.990000E+01  1.739042E-08  9.014336E-08  1.148359E-02  1.732740E-02
