x,Trad,Tmat
-2.535156250000e-02,1.270957032548e+00,1.035518969121e+00
-2.496093750000e-02,1.350925823289e+00,1.049689170090e+00
-2.457031250000e-02,1.447564585290e+00,1.074001873566e+00
-2.417968750000e-02,1.559411349081e+00,1.105364775002e+00
-2.378906250000e-02,1.688832256386e+00,1.154377977257e+00
-2.339843750000e-02,1.834440584224e+00,1.221010102808e+00
-2.300781250000e-02,1.998082048723e+00,1.319815113242e+00
-2.261718750000e-02,2.177369273233e+00,1.455361970769e+00
-2.222656250000e-02,2.377835501405e+00,1.646336713672e+00
-2.183593750000e-02,2.591066536860e+00,1.900281721843e+00
-2.144531250000e-02,2.819987154928e+00,2.223237543711e+00
-2.105468750000e-02,3.056408589766e+00,2.596589032688e+00
-2.066406250000e-02,3.294714763044e+00,2.976861970993e+00
-2.027343750000e-02,3.525276217948e+00,3.317391138477e+00
-1.988281250000e-02,3.743138478026e+00,3.604130798674e+00
-1.949218750000e-02,3.946425104709e+00,3.847491162107e+00
-1.910156250000e-02,4.135630695886e+00,4.060660730793e+00
-1.871093750000e-02,4.312604212529e+00,4.253424575504e+00
-1.832031250000e-02,4.478216044375e+00,4.430030827211e+00
-1.792968750000e-02,4.634746367874e+00,4.594782574414e+00
-1.753906250000e-02,4.782197009800e+00,4.748393679550e+00
-1.714843750000e-02,4.922973746794e+00,4.894095337223e+00
-1.675781250000e-02,5.056203699350e+00,5.031147140655e+00
-1.636718750000e-02,5.184558997122e+00,5.162712271725e+00
-1.597656250000e-02,5.306359880670e+00,5.287046488261e+00
-1.558593750000e-02,5.424685757112e+00,5.407590808911e+00
-1.519531250000e-02,5.537080683264e+00,5.521760560554e+00
-1.480468750000e-02,5.647141117271e+00,5.633411364928e+00
-1.441406250000e-02,5.751633509849e+00,5.739200120036e+00
-1.402343750000e-02,5.854768292292e+00,5.843518077133e+00
-1.363281250000e-02,5.952502475456e+00,5.942235733374e+00
-1.324218750000e-02,6.049752331513e+00,6.040383920396e+00
-1.285156250000e-02,6.141616361361e+00,6.133006589937e+00
-1.246093750000e-02,6.233809333414e+00,6.225913850882e+00
-1.207031250000e-02,6.320507065084e+00,6.313200174531e+00
-1.167968750000e-02,6.408310000943e+00,6.401571371872e+00
-1.128906250000e-02,6.490411265339e+00,6.484137181564e+00
-1.089843750000e-02,6.574374486408e+00,6.568565367649e+00
-1.050781250000e-02,6.652346903142e+00,6.646925188390e+00
-1.011718750000e-02,6.732927415150e+00,6.727899197321e+00
-9.726562500000e-03,6.807152652902e+00,6.802439519615e+00
-9.335937500000e-03,6.884732264166e+00,6.880342913681e+00
-8.945312500000e-03,6.955530337143e+00,6.951391970484e+00
-8.554687500000e-03,7.030438331421e+00,7.026579506800e+00
-8.164062500000e-03,7.098083186798e+00,7.094440374039e+00
-7.773437500000e-03,7.170602742738e+00,7.167191967090e+00
-7.382812500000e-03,7.235328927595e+00,7.232098605491e+00
-6.992187500000e-03,7.305734432570e+00,7.302712058351e+00
-6.601562500000e-03,7.367711227868e+00,7.364839943831e+00
-6.210937500000e-03,7.436293883676e+00,7.433603955387e+00
-5.820312500000e-03,7.495587607719e+00,7.493020359420e+00
-5.429687500000e-03,7.562634320501e+00,7.560235832351e+00
-5.039062500000e-03,7.619256518213e+00,7.616959304893e+00
-4.648437500000e-03,7.685066690047e+00,7.682923041844e+00
-4.257812500000e-03,7.739018902956e+00,7.736954334742e+00
-3.867187500000e-03,7.803873151847e+00,7.801949812696e+00
-3.476562500000e-03,7.855138774655e+00,7.853281418161e+00
-3.085937500000e-03,7.919297816843e+00,7.917578704042e+00
-2.695312500000e-03,7.967844579947e+00,7.966179087492e+00
-2.304687500000e-03,8.031569336066e+00,8.030026212176e+00
-1.914062500000e-03,8.077362148808e+00,8.075851418043e+00
-1.523437500000e-03,8.140890246343e+00,8.139495677806e+00
-1.132812500000e-03,8.183851960558e+00,8.182488406708e+00
-7.421875000000e-04,8.247387542813e+00,8.246163773361e+00
-3.515625000000e-04,8.287461802840e+00,8.286267591658e+00
3.906250000000e-05,8.351431331455e+00,8.350223533485e+00
4.296875000000e-04,8.388606579647e+00,8.387312098669e+00
8.203125000000e-04,8.452255437979e+00,8.451974299965e+00
1.210937500000e-03,8.484273887397e+00,8.484261931636e+00
1.601562500000e-03,8.545847791847e+00,8.716475347303e+00
1.992187500000e-03,8.555273621683e+00,8.647776622043e+00
2.382812500000e-03,8.560786876165e+00,8.577852460517e+00
2.773437500000e-03,8.561419142865e+00,8.563252344706e+00
3.164062500000e-03,8.561611636445e+00,8.561616505741e+00
3.554687500000e-03,8.561617272614e+00,8.561640189436e+00
3.945312500000e-03,8.561609706677e+00,8.561640455816e+00
4.335937500000e-03,8.561602822279e+00,8.561627525177e+00
4.726562500000e-03,8.561589515836e+00,8.561596282007e+00
5.117187500000e-03,8.561582155667e+00,8.561577381883e+00
5.507812500000e-03,8.561568898523e+00,8.561565900160e+00
5.898437500000e-03,8.561561363043e+00,8.561561425980e+00
6.289062500000e-03,8.561545273402e+00,8.561558134733e+00
6.679687500000e-03,8.561535659638e+00,8.561565114033e+00
7.070312500000e-03,8.561510413561e+00,8.561556029650e+00
7.460937500000e-03,8.561492284304e+00,8.561532331030e+00
7.851562500000e-03,8.561450258207e+00,8.561472692381e+00
8.242187500000e-03,8.561425740462e+00,8.561429030811e+00
8.632812500000e-03,8.561372745801e+00,8.561365858993e+00
9.023437500000e-03,8.561348288375e+00,8.561324266419e+00
9.414062500000e-03,8.561308758844e+00,8.561301093524e+00
9.804687500000e-03,8.561286848295e+00,8.561295020334e+00
