  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   se76     76   2.4275433E-08  3.3117789E-08  8.8423571E-09  2.0868173E-08  5.5720939E-09  5.7346600E-01
   se77     77   9.7861603E-09  1.7081410E-08  7.2952497E-09  1.0763333E-08  4.5971698E-09  3.6945629E-01
   se78     78   6.7592644E-08  9.0614748E-08  2.3022102E-08  5.7098138E-08  1.4507592E-08  5.9502661E-01
   se79     79   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   se80     80   8.9768776E-08  1.3905000E-07  4.9281223E-08  8.7618147E-08  3.1055023E-08  4.5046219E-01
   br79     79   1.4690716E-08  2.2571564E-08  7.8808480E-09  1.4222787E-08  4.9661901E-09  4.5696139E-01
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   1.2445274E-08  2.0305860E-08  7.8605860E-09  1.2795123E-08  4.9534217E-09  4.1213918E-01
   kr80     80   5.6173843E-10  2.4398530E-09  1.8781146E-09  1.5373994E-09  1.1835113E-09  1.1361431E-01
   kr81     81   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr82     82   5.5911563E-08  6.5557394E-08  9.6458290E-09  4.1309008E-08  6.0784093E-09  8.3225489E-01
   kr83     83   1.8674909E-08  2.8347497E-08  9.6725881E-09  1.7862316E-08  6.0952723E-09  4.6694466E-01
   kr84     84   1.2853364E-07  1.7677687E-07  4.8243219E-08  1.1139059E-07  3.0400916E-08  5.6396186E-01
   kr-5     85   1.8207752E-17  1.8207752E-17  0.0000000E+00  1.1473064E-17  0.0000000E+00  0.0000000E+00
   kr*5     85   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr86     86   5.2374759E-08  6.7311518E-08  1.4936758E-08  4.2414314E-08  9.4125365E-09  6.5380573E-01
   rb85     85   2.1962597E-08  2.9792583E-08  7.8299855E-09  1.8772894E-08  4.9341389E-09  5.8031988E-01
