# x rho vel Tmat Trad Frad/c
4.364343642009195501e-03 1.002004592106398695e+00 2.993998254731992770e+00 1.027904987614064236e+00 1.154696519842304925e+00 -4.152305279911506219e-01
4.409444219761186889e-03 1.002090197145093065e+00 2.993742487998441781e+00 1.029091507332738020e+00 1.160037546952553900e+00 -4.328702752456989322e-01
4.452818086886474458e-03 1.002175972479131039e+00 2.993486256289656477e+00 1.030279965870392944e+00 1.165315024772976438e+00 -4.505375399109601275e-01
4.494595658095072027e-03 1.002261918560537923e+00 2.993229558505665633e+00 1.031470367137828692e+00 1.170530880171304577e+00 -4.682323730111718207e-01
4.534893176065044398e-03 1.002348035842839380e+00 2.992972393543331222e+00 1.032662715054593061e+00 1.175686951143085635e+00 -4.859548256653619114e-01
4.573814643430901272e-03 1.002434324781069641e+00 2.992714760296337762e+00 1.033857013549001280e+00 1.180784992353152374e+00 -5.037049490875169511e-01
4.611453438867754370e-03 1.002520785831773953e+00 2.992456657655185204e+00 1.035053266558154883e+00 1.185826680135950717e+00 -5.214827945865370129e-01
4.647893739384744566e-03 1.002607419453017679e+00 2.992198084507173839e+00 1.036251478027959250e+00 1.190813617219659504e+00 -5.392884135661945022e-01
4.683211719736445414e-03 1.002694226104391184e+00 2.991939039736394967e+00 1.037451651913141815e+00 1.195747337064985372e+00 -5.571218575254673899e-01
4.717476531103039980e-03 1.002781206247015833e+00 2.991679522223722021e+00 1.038653792177272495e+00 1.200629307868148477e+00 -5.749831780586690533e-01
4.750751125196579772e-03 1.002868360343550425e+00 2.991419530846796793e+00 1.039857902792779898e+00 1.205460936295019492e+00 -5.928724268552583165e-01
4.783092972194452619e-03 1.002955688858196748e+00 2.991159064480021890e+00 1.041063987740970864e+00 1.210243570928685175e+00 -6.107896557000670468e-01
4.814554687220536089e-03 1.003043192256707128e+00 2.990898121994546077e+00 1.042272051012049561e+00 1.214978505512645413e+00 -6.287349164733889717e-01
4.845184562476801890e-03 1.003130871006389091e+00 2.990636702258256729e+00 1.043482096605135023e+00 1.219666981927922667e+00 -6.467082611511512091e-01
4.875027026090826207e-03 1.003218725576112469e+00 2.990374804135766063e+00 1.044694128528279808e+00 1.224310192993421476e+00 -6.647097418048435458e-01
4.904123036708760847e-03 1.003306756436314950e+00 2.990112426488404029e+00 1.045908150798489755e+00 1.228909285043319866e+00 -6.827394106014088582e-01
4.932510440403900173e-03 1.003394964059009853e+00 2.989849568174202332e+00 1.047124167441740639e+00 1.233465360425287649e+00 -7.007973198040930995e-01
4.960224265403085850e-03 1.003483348917791007e+00 2.989586228047886429e+00 1.048342182492998820e+00 1.237979479707654651e+00 -7.188835217717673975e-01
4.987297055393507400e-03 1.003571911487839197e+00 2.989322404960864876e+00 1.049562199996237455e+00 1.242452663829772153e+00 -7.369980689592159351e-01
5.013759042003258087e-03 1.003660652245929930e+00 2.989058097761215560e+00 1.050784224004458034e+00 1.246885896093615997e+00 -7.551410139172118896e-01
5.039638358513610222e-03 1.003749571670437657e+00 2.988793305293677260e+00 1.052008258579707034e+00 1.251280124028023799e+00 -7.733124092927792237e-01
5.064961248529564752e-03 1.003838670241344211e+00 2.988528026399636328e+00 1.053234307793093683e+00 1.255636261144863042e+00 -7.915123078290631220e-01
5.089752216164535395e-03 1.003927948440245244e+00 2.988262259917115138e+00 1.054462375724811274e+00 1.259955188608797849e+00 -8.097407623659428344e-01
5.114034179292820115e-03 1.004017406750354224e+00 2.987996004680764095e+00 1.055692466464154267e+00 1.264237756679981839e+00 -8.279978258386626599e-01
5.137828609777975175e-03 1.004107045656511987e+00 2.987729259521846981e+00 1.056924584109537157e+00 1.268484786291750765e+00 -8.462835512796416104e-01
5.161155663521023451e-03 1.004196865645192283e+00 2.987462023268228961e+00 1.058158732768512245e+00 1.272697070362145633e+00 -8.645979918177421064e-01
5.184034271581674375e-03 1.004286867204507328e+00 2.987194294744369039e+00 1.059394916557790722e+00 1.276875375062163975e+00 -8.829412006781759414e-01
5.206482237049373310e-03 1.004377050824215800e+00 2.986926072771304508e+00 1.060633139603258890e+00 1.281020441060903847e+00 -9.013132311829076260e-01
5.228516326618802210e-03 1.004467416995729279e+00 2.986657356166641186e+00 1.061873406039997914e+00 1.285132984661079947e+00 -9.197141367506709297e-01
5.250152350943899926e-03 1.004557966212118014e+00 2.986388143744542312e+00 1.063115720012303367e+00 1.289213698867426316e+00 -9.381439708968606350e-01
5.271405230191344993e-03 1.004648698968118703e+00 2.986118434315716108e+00 1.064360085673701439e+00 1.293263254431592513e+00 -9.566027872338971338e-01
5.292289063602739763e-03 1.004739615760140925e+00 2.985848226687403795e+00 1.065606507186970919e+00 1.297282300782081732e+00 -9.750906394708763747e-01
5.312817192122464699e-03 1.004830717086273584e+00 2.985577519663367596e+00 1.066854988724159403e+00 1.301271466979714297e+00 -9.936075814143289220e-01
5.333002247195621492e-03 1.004922003446292678e+00 2.985306312043880972e+00 1.068105534466603057e+00 1.305231362545768548e+00 -1.012153666967423593e+00
5.352856200066393594e-03 1.005013475341666629e+00 2.985034602625714406e+00 1.069358148604946157e+00 1.309162578279237099e+00 -1.030728950130521016e+00
5.372390407805573490e-03 1.005105133275564055e+00 2.984762390202126969e+00 1.070612835339158186e+00 1.313065687050092967e+00 -1.049333485001152644e+00
5.391615653172704067e-03 1.005196977752861542e+00 2.984489673562848555e+00 1.071869598878553376e+00 1.316941244545006162e+00 -1.067967325774429321e+00
5.410542181682482382e-03 1.005289009280149637e+00 2.984216451494072775e+00 1.073128443441809576e+00 1.320789789936078984e+00 -1.086630526742475844e+00
5.429179748301654271e-03 1.005381228365739066e+00 2.983942722778444079e+00 1.074389373256987357e+00 1.324611846551806860e+00 -1.105323142294988292e+00
