# x rho vel Tmat Trad
-2.064225747498805719e-01 1.000052753996184318e+00 2.999841746359959060e+01 1.077875204523263575e+00 2.178073096675167797e+00
-2.063959543471345359e-01 1.000054186903670539e+00 2.999837448097173009e+01 1.079990208488370129e+00 2.192077632140399412e+00
-2.063699528011638251e-01 1.000055624039620561e+00 2.999833137162723062e+01 1.082111440595201701e+00 2.205859331252458144e+00
-2.063445400817654207e-01 1.000057065420699720e+00 2.999828813506730185e+01 1.084238925309401358e+00 2.219427424506913660e+00
-2.063196880871085159e-01 1.000058511063659950e+00 2.999824477079053153e+01 1.086372687216792476e+00 2.232790570640336369e+00
-2.062953709112051170e-01 1.000059960985320684e+00 2.999820127829350724e+01 1.088512751024132585e+00 2.245956891708651426e+00
-2.062715643264642351e-01 1.000061415202587289e+00 2.999815765707024795e+01 1.090659141559788381e+00 2.258934028013181994e+00
-2.062482459233711818e-01 1.000062873732437740e+00 2.999811390661259836e+01 1.092811883774484238e+00 2.271729168394247989e+00
-2.062253939402515501e-01 1.000064336591949932e+00 2.999807002640942244e+01 1.094971002741967236e+00 2.284349099878621558e+00
-2.062029887139210649e-01 1.000065803798275699e+00 2.999802601594737794e+01 1.097136523659794305e+00 2.296800224127007795e+00
-2.061810122378553434e-01 1.000067275368653918e+00 2.999798187471050426e+01 1.099308471850037439e+00 2.309088592855869759e+00
-2.061594479423626280e-01 1.000068751320410287e+00 2.999793760218026151e+01 1.101486872760022884e+00 2.321219933523282375e+00
-2.061382781898851713e-01 1.000070231670950216e+00 2.999789319783572950e+01 1.103671751963096526e+00 2.333199667838916191e+00
-2.061174887692452939e-01 1.000071716437791247e+00 2.999784866115262005e+01 1.105863135159296240e+00 2.345032950650384418e+00
-2.060970651106925622e-01 1.000073205638515761e+00 2.999780399160472655e+01 1.108061048176216978e+00 2.356724663465145309e+00
-2.060769931364568874e-01 1.000074699290800062e+00 2.999775918866301794e+01 1.110265516969703548e+00 2.368279447629550116e+00
-2.060572596080191832e-01 1.000076197412447909e+00 2.999771425179465822e+01 1.112476567624543389e+00 2.379701736901161713e+00
-2.060378526562212098e-01 1.000077700021259286e+00 2.999766918046694997e+01 1.114694226355530837e+00 2.390995705789468406e+00
-2.060187600438206923e-01 1.000079207135216475e+00 2.999762397414170678e+01 1.116918519507826391e+00 2.402165376964171983e+00
-2.059999706663367403e-01 1.000080718772344834e+00 2.999757863227948462e+01 1.119149473558052499e+00 2.413214563742979379e+00
-2.059814743343575394e-01 1.000082234950735671e+00 2.999753315433886414e+01 1.121387115115027200e+00 2.424146893266205804e+00
-2.059632609797110436e-01 1.000083755688630172e+00 2.999748753977392823e+01 1.123631470920371411e+00 2.434965857627311436e+00
-2.059453212036425063e-01 1.000085281004289062e+00 2.999744178803821626e+01 1.125882567849601612e+00 2.445674760866248576e+00
-2.059276461934604341e-01 1.000086810916131164e+00 2.999739589858049627e+01 1.128140432912615454e+00 2.456276793635414624e+00
-2.059102274269961064e-01 1.000088345442613047e+00 2.999734987084843851e+01 1.130405093254780002e+00 2.466774985116853447e+00
-2.058930565822109093e-01 1.000089884602233248e+00 2.999730370428847337e+01 1.132676576157738202e+00 2.477172214000680661e+00
-2.058761261021254674e-01 1.000091428413730332e+00 2.999725739833981208e+01 1.134954909039774140e+00 2.487471304085266066e+00
-2.058594287165124992e-01 1.000092976895962771e+00 2.999721095243809899e+01 1.137240119456919496e+00 2.497674974092272571e+00
-2.058429572970988941e-01 1.000094530067676457e+00 2.999716436602237835e+01 1.139532235104310898e+00 2.507785744394164240e+00
-2.058267049321929887e-01 1.000096087947638823e+00 2.999711763853103363e+01 1.141831283816724829e+00 2.517806004122858710e+00
-2.058106653236888017e-01 1.000097650555158424e+00 2.999707076938624084e+01 1.144137293568240565e+00 2.527738235514254583e+00
-2.057948323187072659e-01 1.000099217909577565e+00 2.999702375800918119e+01 1.146450292474240795e+00 2.537584798542633635e+00
-2.057791994321138129e-01 1.000100790029994968e+00 2.999697660382834030e+01 1.148770308792904427e+00 2.547347823068252026e+00
-2.057637602326231330e-01 1.000102366935619491e+00 2.999692930626892462e+01 1.151097370925268537e+00 2.557029364645833081e+00
-2.057485089531451428e-01 1.000103948646290597e+00 2.999688186473721885e+01 1.153431507414889978e+00 2.566631615770205599e+00
-2.057334396109863628e-01 1.000105535181845529e+00 2.999683427863961427e+01 1.155772746950176399e+00 2.576156647466756322e+00
-2.057185482014547151e-01 1.000107126561750270e+00 2.999678654739362216e+01 1.158121118366118862e+00 2.585606271636330611e+00
