t,Tgas,Trad
1.82,0.7265197548089868,0.7231551612252735
1.83,0.7264691500304893,0.7231886120579538
1.84,0.7264198071551689,0.7232212242768695
1.85,0.726371694903402,0.7232530188914412
1.86,0.7263247849415004,0.7232840149451863
1.87,0.726279048975588,0.7233142314375227
1.8800000000000001,0.7262344587117888,0.7233436873507122
1.8900000000000001,0.7261909858562267,0.7233724016504712
1.9000000000000001,0.7261486021150255,0.723400393286568
1.9100000000000001,0.7261072791943094,0.7234276811934016
1.92,0.7260669888002022,0.7234542842905677
1.93,0.7260277026811305,0.7234802214554797
1.94,0.7259893949669701,0.72350550997983
1.95,0.7259520431252077,0.7235301649398057
1.96,0.7259156248407836,0.7235542012568712
1.97,0.725880117798639,0.7235776338417312
1.98,0.7258454996837145,0.7236004775947125
1.99,0.7258117481809507,0.7236227474061333
2.,0.7257788409752886,0.7236444581566663
2.0100000000000002,0.7257467557516686,0.7236656247176895
2.02,0.7257154701950318,0.7236862619516283
2.0300000000000002,0.7256849630165618,0.7237063840354228
2.04,0.7256552160678291,0.7237260030668387
2.05,0.725626211739035,0.7237451307813222
2.06,0.725597932420378,0.7237637789075627
2.07,0.7255703605020565,0.7237819591677288
2.08,0.7255434783742687,0.7237996832776995
2.09,0.7255172684272132,0.7238169629472896
2.1,0.7254917130510883,0.7238338098804697
2.11,0.7254667946360924,0.72385023577558
2.12,0.7254424959130599,0.723866252101018
2.13,0.7254188020114499,0.7238818687391376
2.14,0.7253956990200738,0.7238970949354745
2.15,0.725373173025372,0.7239119399328745
2.16,0.7253512101137848,0.723926412970079
2.17,0.7253297963717524,0.7239405232818699
2.18,0.7253089178857156,0.7239542800992109
2.19,0.7252885607421146,0.7239676926493852
2.2,0.7252687110273895,0.7239807701561289
2.21,0.7252493549076793,0.723993521787259
2.22,0.7252304800772105,0.7240059557007013
2.23,0.7252120755147179,0.7240180792053147
2.24,0.7251941302289618,0.7240298995874989
2.25,0.7251766332287028,0.7240414241310683
2.2600000000000002,0.7251595735227013,0.7240526601173433
2.27,0.7251429401197178,0.7240636148252385
2.2800000000000002,0.7251267220285126,0.7240742955313488
2.29,0.7251109082578464,0.7240847095100338
2.3000000000000003,0.7250954878230748,0.7240948640291559
2.31,0.7250804505256205,0.7241047658369028
2.32,0.7250657875520595,0.724114420767504
2.33,0.7250514902138735,0.7241238345712468
2.34,0.7250375498225444,0.7241330129967893
2.35,0.7250239576895545,0.7241419617912163
2.36,0.7250107051263855,0.7241506867000956
2.37,0.7249977834445195,0.7241591934675317
2.38,0.7249851839554384,0.7241674878362185
2.39,0.7249728979706244,0.7241755755474913
2.4,0.7249609170490758,0.7241834621784465
2.41,0.7249492339878607,0.7241911524900021
2.42,0.7249378419697657,0.724198650988097
2.43,0.7249267341776893,0.7242059621775743
2.44,0.7249159037945292,0.7242130905622884
2.45,0.7249053440031836,0.7242200406451407
2.46,0.7248950479865506,0.7242268169281124
2.47,0.7248850089275283,0.7242334239122982
2.48,0.7248752200090146,0.724239866097938
2.49,0.7248656744141042,0.724246147984319
2.5,0.7248563657085764,0.7242522738181023
2.5100000000000002,0.7248472884435078,0.7242582471968345
2.52,0.7248384373070319,0.7242640716272252
2.5300000000000002,0.7248298069872818,0.7242697506153656
2.54,0.7248213921723909,0.7242752876667503
2.5500000000000003,0.7248131875504924,0.7242806862862984
2.56,0.7248051878097196,0.7242859499783733
2.57,0.7247973876382057,0.7242910822468029
2.58,0.724789781724084,0.7242960865948992
2.59,0.7247823647587827,0.7243009665233088
2.6,0.7247751318379069,0.7243057252662827
2.61,0.7247680787621269,0.7243103655937625
2.62,0.7247612013927685,0.7243148902353955
2.63,0.724754495591157,0.724319301920455
2.64,0.7247479572186183,0.7243236033778544
2.65,0.7247415821364781,0.7243277973361588
2.66,0.724735366206062,0.7243318865235984
2.67,0.7247293052886956,0.7243358736680792
2.68,0.7247233952457047,0.7243397614971959
2.69,0.7247176319481289,0.7243435527318528
2.7,0.7247120116637608,0.7243472498316773
2.71,0.7247065311436364,0.7243508549381579
2.72,0.7247011871627297,0.7243543701768018
2.73,0.7246959764960145,0.724357797672891
2.74,0.7246908959184649,0.7243611395514894
2.75,0.7246859422050548,0.7243643979374509
2.7600000000000002,0.7246811121307579,0.7243675749554265
2.77,0.7246764024705485,0.7243706727298719
2.7800000000000002,0.7246718099994004,0.7243736933850541
2.79,0.7246673315107927,0.7243766390328876
2.8000000000000003,0.7246629641680111,0.7243795115418831
2.81,0.7246587054497452,0.7243823125729492
2.82,0.724654552841896,0.7243850437821105
2.83,0.7246505038303641,0.7243877068252551
2.84,0.7246465559010504,0.7243903033581394
2.85,0.7246427065398559,0.7243928350363925
2.86,0.7246389532326812,0.7243953035155214
2.87,0.7246352934654274,0.7243977104509146
2.88,0.7246317247239952,0.7244000574978467
2.89,0.7246282445228368,0.7244023462927056
2.9,0.7246248507062507,0.7244045782548502
2.91,0.7246215413138781,0.7244067546750792
2.92,0.7246183143863263,0.7244088768434711
