  120  1.0000E+00
    i  x                       den                     ener                    pres                    vel                     cs
   28  2.7226890756302521E-01  1.0788350855903390E-04  1.1291944802594736E+03  4.8728584950354704E-02  7.7791176002241194E-02  2.5146548648776938E+01
   29  2.8235294117647059E-01  1.4171401028786505E-04  8.5963017616120214E+02  4.8728655851307140E-02  8.0672356157051138E-02  2.1940667689253971E+01
   30  2.9243697478991597E-01  1.8437987464342334E-04  6.6071137067423831E+02  4.8728751880160188E-02  8.3553547488141953E-02  1.9235341628824102E+01
   31  3.0252100840336134E-01  2.3776025208099667E-04  5.1237412650326678E+02  4.8728880590878874E-02  8.6434753872764365E-02  1.6938993796617006E+01
   32  3.1260504201680672E-01  3.0404949472061045E-04  4.0066709761363544E+02  4.8729051432239745E-02  8.9315980330142208E-02  1.4979104601531957E+01
   33  3.2268907563025210E-01  3.8579687759643003E-04  3.1577028590274858E+02  4.8729276135604963E-02  9.2197233302342076E-02  1.3297795309957933E+01
   34  3.3277310924369748E-01  4.8594979669369457E-04  2.5069240432328524E+02  4.8729569165421576E-02  9.5078520991537050E-02  1.1848533513521398E+01
   35  3.4285714285714286E-01  6.0790063152939529E-04  2.0040260575772886E+02  4.8729948240103922E-02  9.7959853762613837E-02  1.0593651836091658E+01
   36  3.5294117647058824E-01  7.5553746822379496E-04  1.6124426974542153E+02  4.8730434931620177E-02  1.0084124462114125E-01  9.5024623681147013E+00
   37  3.6302521008403361E-01  9.3329888892300382E-04  1.3053442988944978E+02  4.8731055352808489E-02  1.0372270977787502E-01  8.5498117369970129E+00
   38  3.7310924369747899E-01  1.1462330455709347E-03  1.0628693948952855E+02  4.8731840942198383E-02  1.0660426931222370E-01  7.7149650753672236E+00
   39  3.8319327731092437E-01  1.4000612510155723E-03  8.7019102417063307E+01  4.8732829356914347E-02  1.0948594794844763E-01  6.9807375938045008E+00
   40  3.9327731092436975E-01  1.7012463390386410E-03  7.1615239320128610E+01  4.8734065485097974E-02  1.1236777595981187E-01  6.3328140679536788E+00
   41  4.0336134453781513E-01  2.0570660680631136E-03  5.9229505734956361E+01  4.8735602590211328E-02  1.1524979021746957E-01  5.7592120304409319E+00
   42  4.1344537815126050E-01  2.4756918721721795E-03  4.9216043551722830E+01  4.8737503600588886E-02  1.1813203540251944E-01  5.2498556541075284E+00
   43  4.2352941176470588E-01  2.9662732990681263E-03  4.1078347849820935E+01  4.8739842558702567E-02  1.2101456540146460E-01  4.7962354816980915E+00
   44  4.3361344537815126E-01  3.5390285194087523E-03  3.4432264376012672E+01  4.8742706245812342E-02  1.2389744490720563E-01  4.3911351665107163E+00
   45  4.4369747899159664E-01  4.2053413476340343E-03  2.8978739161353289E+01  4.8746195999016242E-02  1.2678075124973384E-01  4.0284108442856026E+00
   46  4.5378151260504202E-01  4.9778652834080635E-03  2.4483602389617314E+01  4.8750429739217093E-02  1.2966457648285670E-01  3.7028120851841369E+00
   47  4.6386554621848739E-01  5.8706351681208815E-03  2.0762465573989345E+01  4.8755544230224380E-02  1.3254902975559337E-01  3.4098358789586975E+00
   48  4.7394957983193277E-01  6.8991871560859731E-03  1.7669363248154085E+01  4.8761697591152877E-02  1.3543423999932974E-01  3.1456070032612605E+00
   49  4.8403361344537815E-01  8.0806878294045137E-03  1.5088156205297258E+01  4.8769072086519899E-02  1.3832035896442667E-01  2.9067795711003724E+00
   50  4.9411764705882353E-01  9.4340734440673373E-03  1.2925985129923534E+01  4.8777877221048362E-02  1.4120756464274023E-01  2.6904556626633302E+00
   51  5.0420168067226891E-01  1.0980200488867866E-02  1.1108256451851754E+01  4.8788353169236903E-02  1.4409606511544486E-01  2.4941178025580472E+00
   52  5.1428571428571429E-01  1.2742008975468741E-02  9.5747802931462418E+00  4.8800774573364254E-02  1.4698610286865980E-01  2.3155727075956599E+00
