# Athena++ data at time=1.800000e+00  cycle=1734  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0089  5.40625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0090  5.46875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0091  5.53125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0092  5.59375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0093  5.65625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0094  5.71875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0095  5.78125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0096  5.84375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0097  5.90625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0098  5.96875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0099  6.03125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0100  6.09375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0101  6.15625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0102  6.21875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0103  6.28125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0104  6.34375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0105  6.40625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0106  6.46875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0107  6.53125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0108  6.59375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0109  6.65625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0110  6.71875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0111  6.78125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0112  6.84375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0113  6.90625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0114  6.96875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0115  7.03125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0116  7.09375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0117  7.15625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0118  7.21875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0119  7.28125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0120  7.34375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0121  7.40625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0122  7.46875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0123  7.53125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0124  7.59375e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0125  7.65625e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0126  7.71875e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
0127  7.78125e-01  3.85714e+00  1.03333e+01  2.62937e+00  0.00000e+00  0.00000e+00
