# x density velocity pressure
0.113037 0.253023 0.0282218 1.01252e-11
0.113525 0.25305 0.0283433 1.01275e-11
0.114014 0.253055 0.0284649 1.01288e-11
0.114502 0.253066 0.0285865 1.01294e-11
0.11499 0.25311 0.0287081 1.01314e-11
0.115479 0.253159 0.0288296 1.01344e-11
0.115967 0.253183 0.0289512 1.01364e-11
0.116455 0.253187 0.0290727 1.01373e-11
0.116943 0.253201 0.0291943 1.0138e-11
0.117432 0.25325 0.0293159 1.01407e-11
0.11792 0.253297 0.0294374 1.01438e-11
0.118408 0.253317 0.0295589 1.01458e-11
0.118896 0.253321 0.0296804 1.01466e-11
0.119385 0.253344 0.029802 1.01475e-11
0.119873 0.253396 0.0299235 1.015e-11
0.120361 0.253436 0.030045 1.0153e-11
0.12085 0.253448 0.0301665 1.01549e-11
0.121338 0.253456 0.030288 1.01558e-11
0.121826 0.253493 0.0304096 1.01573e-11
0.122314 0.253545 0.0305311 1.01601e-11
0.122803 0.253578 0.0306525 1.01625e-11
0.123291 0.253586 0.030774 1.01636e-11
0.123779 0.253596 0.0308955 1.01645e-11
0.124268 0.253638 0.031017 1.01672e-11
0.124756 0.253693 0.0311385 1.01705e-11
0.125244 0.253728 0.0312599 1.01725e-11
0.125732 0.253737 0.0313814 1.01734e-11
0.126221 0.253742 0.0315028 1.0174e-11
0.126709 0.253779 0.0316243 1.01764e-11
0.127197 0.253838 0.0317458 1.01801e-11
0.127686 0.253881 0.0318672 1.0183e-11
0.128174 0.253895 0.0319886 1.01845e-11
0.128662 0.253898 0.0321101 1.0185e-11
0.12915 0.253928 0.0322315 1.01862e-11
0.129639 0.253987 0.0323529 1.01894e-11
0.130127 0.254028 0.0324744 1.01929e-11
0.130615 0.254039 0.0325957 1.01947e-11
0.131104 0.254051 0.0327172 1.01954e-11
0.131592 0.254096 0.0328385 1.01974e-11
0.13208 0.254149 0.0329601 1.02002e-11
0.132568 0.254173 0.0330812 1.02024e-11
0.133057 0.254181 0.0332029 1.02036e-11
0.133545 0.254202 0.0333239 1.02055e-11
0.134033 0.254257 0.0334459 1.02085e-11
0.134521 0.254312 0.0335665 1.02115e-11
0.13501 0.254345 0.0336887 1.02136e-11
0.135498 0.254351 0.033809 1.02151e-11
0.135986 0.254359 0.0339317 1.02158e-11
0.136475 0.254399 0.0340517 1.02176e-11
0.136963 0.254469 0.0341745 1.02215e-11
0.137451 0.254507 0.0342941 1.0225e-11
0.137939 0.254525 0.0344173 1.02271e-11
0.138428 0.254542 0.0345368 1.02281e-11
0.138916 0.254578 0.0346601 1.02296e-11
0.139404 0.254615 0.0347794 1.02315e-11
0.139893 0.254633 0.0349025 1.02334e-11
0.140381 0.254676 0.0350223 1.02364e-11
0.140869 0.254718 0.0351449 1.02397e-11
0.141357 0.254774 0.0352653 1.02427e-11
0.141846 0.254792 0.035387 1.0244e-11
0.142334 0.254811 0.0355083 1.0245e-11
0.142822 0.254817 0.035629 1.02462e-11
0.143311 0.254872 0.0357514 1.02498e-11
0.143799 0.25493 0.0358712 1.02538e-11
0.144287 0.254985 0.0359944 1.02568e-11
0.144775 0.255007 0.0361133 1.0258e-11
0.145264 0.255014 0.036237 1.02587e-11
0.145752 0.25502 0.0363557 1.02598e-11
0.14624 0.255065 0.0364796 1.02631e-11
0.146729 0.255139 0.0365984 1.02675e-11
0.147217 0.255197 0.036722 1.02709e-11
0.147705 0.25523 0.036841 1.0273e-11
0.148193 0.255235 0.036964 1.02744e-11
0.148682 0.255242 0.0370837 1.0275e-11
0.14917 0.255273 0.0372063 1.02764e-11
0.149658 0.255351 0.0373264 1.02807e-11
0.150146 0.255407 0.0374485 1.02851e-11
0.150635 0.255436 0.0375688 1.02881e-11
0.151123 0.25545 0.0376909 1.02895e-11
0.151611 0.255484 0.0378112 1.02911e-11
0.1521 0.255534 0.0379333 1.02933e-11
0.152588 0.255556 0.0380534 1.02948e-11
0.153076 0.255569 0.0381757 1.02965e-11
0.153564 0.25562 0.0382958 1.02997e-11
0.154053 0.255674 0.0384178 1.03033e-11
0.154541 0.255727 0.0385384 1.03062e-11
0.155029 0.255743 0.0386596 1.03084e-11
0.155518 0.255789 0.0387813 1.03112e-11
0.156006 0.255823 0.0389014 1.03136e-11
0.156494 0.255866 0.0390239 1.03155e-11
0.156982 0.255878 0.0391431 1.03163e-11
0.157471 0.255899 0.0392663 1.03185e-11
0.157959 0.255963 0.0393855 1.03232e-11
0.158447 0.256035 0.0395085 1.0328e-11
0.158936 0.256085 0.0396277 1.03308e-11
0.159424 0.256098 0.0397504 1.03317e-11
0.159912 0.256101 0.0398699 1.0332e-11
0.1604 0.256124 0.0399927 1.03336e-11
0.160889 0.256199 0.0401122 1.03384e-11
0.161377 0.256274 0.0402348 1.03432e-11
0.161865 0.256314 0.0403542 1.03461e-11
0.162354 0.256321 0.0404765 1.03473e-11
0.162842 0.256326 0.0405966 1.03479e-11
0.16333 0.256365 0.0407185 1.03499e-11
0.163818 0.256449 0.040839 1.03547e-11
0.164307 0.256519 0.0409605 1.03589e-11
0.164795 0.256545 0.0410806 1.03617e-11
0.165283 0.256554 0.0412027 1.03631e-11
0.165771 0.256559 0.0413223 1.03641e-11
0.16626 0.256606 0.0414452 1.0366e-11
0.166748 0.256692 0.0415643 1.03703e-11
0.167236 0.256757 0.0416869 1.03751e-11
0.167725 0.2568 0.0418065 1.03784e-11
0.168213 0.256807 0.0419283 1.03808e-11
0.168701 0.256818 0.0420489 1.03815e-11
0.169189 0.25685 0.04217 1.03829e-11
0.169678 0.256919 0.0422909 1.03859e-11
0.170166 0.256985 0.042412 1.03902e-11
0.170654 0.257032 0.0425327 1.03945e-11
0.171143 0.257075 0.0426539 1.03982e-11
0.171631 0.257109 0.0427747 1.04002e-11
0.172119 0.257116 0.0428952 1.04007e-11
0.172607 0.257137 0.0430168 1.04016e-11
0.173096 0.257187 0.0431368 1.04047e-11
0.173584 0.257275 0.0432591 1.04106e-11
0.174072 0.25735 0.0433786 1.04156e-11
0.174561 0.25739 0.0435007 1.04186e-11
0.175049 0.257399 0.04362 1.04202e-11
0.175537 0.257401 0.0437422 1.0421e-11
0.176025 0.25742 0.0438621 1.04217e-11
0.176514 0.257503 0.0439841 1.04253e-11
0.177002 0.257606 0.0441042 1.04313e-11
0.17749 0.257661 0.0442251 1.04362e-11
0.177979 0.257683 0.0443459 1.04391e-11
0.178467 0.257685 0.0444665 1.04406e-11
0.178955 0.257689 0.0445878 1.0441e-11
0.179443 0.257743 0.0447085 1.04429e-11
0.179932 0.257835 0.0448292 1.04469e-11
0.18042 0.257918 0.0449502 1.04522e-11
0.180908 0.257961 0.0450704 1.04569e-11
0.181396 0.257973 0.0451918 1.04596e-11
0.181885 0.257978 0.045312 1.04606e-11
0.182373 0.258016 0.0454336 1.04621e-11
0.182861 0.258071 0.0455532 1.04643e-11
0.18335 0.258152 0.0456754 1.04684e-11
0.183838 0.258219 0.0457946 1.04736e-11
0.184326 0.25827 0.0459168 1.04784e-11
