# Initial mass = 0.900, Z =  0.0001, Y =  0.240, M_mix = 0.00E+00
# Final mass = 0.775, Mass expelled =   0.1250
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
 ca  20   4.111102 -2.178898 -0.000426 3.79283E-07 4.74104E-08
 sc  21   0.924933 -2.125067  0.053405 2.77126E-10 3.46407E-11
 ti  22   2.747405 -2.162595  0.015877 1.96064E-08 2.45079E-09
  v  23   1.782695 -2.177305  0.001166 2.26322E-09 2.82902E-10
 cr  24   3.443671 -2.196329 -0.017857 1.05827E-07 1.32284E-08
 mn  25   3.305509 -2.174491  0.003980 8.13462E-08 1.01683E-08
 fe  26   5.361528 -2.178472  0.000000 9.40737E-06 1.17592E-06
 co  27   2.757075 -2.112925  0.065547 2.46825E-08 3.08531E-09
 ni  28   4.030139 -2.169861  0.008611 4.60979E-07 5.76224E-08
 cu  29   2.208039 -2.041961  0.136511 7.51766E-09 9.39708E-10
 zn  30   2.525884 -2.104116  0.074355 1.60871E-08 2.01088E-09
 ga  31   1.213411 -1.866589  0.311883 8.35109E-10 1.04389E-10
 ge  32   1.690059 -1.889941  0.288530 2.60730E-09 3.25912E-10
 as  33   0.339528 -1.960472  0.218000 1.19976E-10 1.49969E-11
 se  34   1.566113 -1.773886  0.404585 2.13047E-09 2.66309E-10
 br  35   0.741827 -1.798173  0.380299 3.23111E-10 4.03889E-11
 kr  36   2.175045 -1.074955  1.103517 9.18829E-09 1.14854E-09
 rb  37   1.362154 -1.157846  1.020626 1.44183E-09 1.80229E-10
 sr  38   1.878970 -1.001030  1.177442 4.85880E-09 6.07350E-10
  y  39   1.319689 -0.890311  1.288160 1.36011E-09 1.70014E-10
 zr  40   1.809359 -0.720641  1.457830 4.30946E-09 5.38683E-10
 nb  41   0.546955 -0.863045  1.315427 2.39858E-10 2.99823E-11
 mo  42   1.045214 -0.894786  1.283685 7.80134E-10 9.75167E-11
 ru  44   0.831693 -0.928307  1.250164 5.02656E-10 6.28320E-11
 rh  45  -0.229639 -1.289639  0.888833 4.44383E-11 5.55478E-12
 pd  46   0.793477 -0.856523  1.321949 4.84681E-10 6.05851E-11
 ag  47  -0.001497 -1.201497  0.976974 7.87682E-11 9.84602E-12
 cd  48   0.923539 -0.786461  1.392011 6.90723E-10 8.63404E-11
 in  49  -0.218628 -0.978628  1.199844 5.08555E-11 6.35694E-12
 sn  50   1.356651 -0.713349  1.465123 1.97740E-09 2.47175E-10
 sb  51  -0.145910 -1.155910  1.022561 6.37602E-11 7.97003E-12
 te  52   0.956153 -1.223847  0.954624 8.45199E-10 1.05650E-10
  i  53  -0.109784 -1.659784  0.518687 7.22182E-11 9.02728E-12
 xe  54   1.161206 -1.078794  1.099678 1.39445E-09 1.74306E-10
