  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   ti47     47  -1.0182475E-08  1.6716649E-06  1.6818474E-06  4.0446770E-07  4.0696094E-07 -2.6688732E-03
   ti48     48  -1.1783413E-07  1.6901460E-05  1.7019294E-05  4.0893929E-06  4.1182020E-06 -3.0488092E-03
   ti49     49   8.2456040E-08  1.3574498E-06  1.2749938E-06  3.2844179E-07  3.0851351E-07  2.7184222E-02
   ti50     50   6.5645963E-08  1.3113465E-06  1.2457006E-06  3.1728686E-07  3.0142536E-07  2.2272279E-02
    v51     51  -2.0106654E-08  2.7251617E-06  2.7452684E-06  6.5936649E-07  6.6427958E-07 -3.2240236E-03
   cr52     52  -3.2871321E-07  1.1221151E-04  1.1254022E-04  2.7150136E-05  2.7231643E-05 -1.3018390E-03
   cr53     53  -1.2241799E-08  1.2994260E-05  1.3006502E-05  3.1440263E-06  3.1472164E-06 -4.4044005E-04
   cr54     54   3.1283275E-07  3.6115171E-06  3.2986843E-06  8.7382460E-07  7.9819102E-07  3.9317433E-02
   mn55     55   7.0391980E-07  9.8985925E-05  9.8282006E-05  2.3950141E-05  2.3781547E-05  3.0679633E-03
   fe54     54  -4.9640657E-06  6.4262404E-04  6.4758811E-04  1.5548611E-04  1.5669856E-04 -3.3734031E-03
   fe55     55   5.5964348E-14  5.5964348E-14  0.0000000E+00  1.3540854E-14  0.0000000E+00  0.0000000E+00
   fe56     56  -3.7371181E-05  1.0504735E-02  1.0542106E-02  2.5416731E-03  2.5509002E-03 -1.5737639E-03
   fe57     57   1.5252212E-05  2.6307348E-04  2.4782127E-04  6.3651947E-05  5.9965951E-05  2.5906958E-02
   fe58     58   2.0634459E-05  5.4191434E-05  3.3556975E-05  1.3111889E-05  8.1198668E-06  2.0811634E-01
   fe59     59   1.7113633E-24  1.7113633E-24  0.0000000E+00  4.1407294E-25  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   4.7162648E-06  3.0597301E-05  2.5881036E-05  7.4031700E-06  6.2625008E-06  7.2669923E-02
   co60     60   2.4833881E-12  2.4833881E-12  0.0000000E+00  6.0086815E-13  0.0000000E+00  0.0000000E+00
   ni58     58  -3.0500814E-06  3.6725195E-04  3.7030203E-04  8.8858447E-05  8.9602931E-05 -3.6235005E-03
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   2.2552849E-06  1.4980885E-04  1.4755357E-04  3.6247002E-05  3.5703917E-05  6.5562068E-03
   ni61     61   1.1990828E-06  7.7200293E-06  6.5209465E-06  1.8678998E-06  1.5778902E-06  7.3276795E-02
   ni62     62   1.7378188E-06  2.2870316E-05  2.1132497E-05  5.5335872E-06  5.1134848E-06  3.4289800E-02
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   5.5385726E-07  6.1091732E-06  5.5553160E-06  1.4781450E-06  1.3442341E-06  4.1242152E-02
