  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   ca42     42   8.7180752E-08  1.6650540E-06  1.5778733E-06  8.0050677E-07  7.5862943E-07  2.3335315E-02
   ca43     43   1.6428970E-08  3.5350592E-07  3.3707695E-07  1.6995477E-07  1.6206401E-07  2.0646766E-02
   ca44     44   9.5622454E-08  5.4251836E-06  5.3295612E-06  2.6082614E-06  2.5624124E-06  7.7021094E-03
   ca45     45   5.2681337E-20  5.2681337E-20  0.0000000E+00  2.5327566E-20  0.0000000E+00  0.0000000E+00
   ca46     46   6.1112459E-08  7.1796336E-08  1.0683874E-08  3.4517470E-08  5.1367248E-09  8.2735264E-01
   ca47     47   9.6300688E-32  9.6300688E-32  0.0000000E+00  4.6298408E-32  0.0000000E+00  0.0000000E+00
   ca48     48  -6.9883299E-10  5.2050518E-07  5.2120402E-07  2.5024289E-07  2.5059089E-07 -6.0353638E-04
   sc45     45   1.6286350E-08  1.6664950E-07  1.5036315E-07  8.0119953E-08  7.2293453E-08  4.4641718E-02
   sc46     46   2.3502069E-21  2.3502069E-21  0.0000000E+00  1.1299072E-21  0.0000000E+00  0.0000000E+00
   sc47     47   2.6739734E-31  2.6739734E-31  0.0000000E+00  1.2855642E-31  0.0000000E+00  0.0000000E+00
   sc48     48   2.9418580E-32  9.4706726E-29  9.4677308E-29  4.5532080E-29  4.5520128E-29  0.0000000E+00
   ti46     46   1.5697367E-08  9.3431521E-07  9.1861784E-07  4.4919003E-07  4.4166444E-07  7.3376838E-03
   ti47     47  -4.6588866E-10  8.4597218E-07  8.4643807E-07  4.0671742E-07  4.0696094E-07 -2.5994703E-04
   ti48     48  -6.2029358E-08  8.5034189E-06  8.5654483E-06  4.0881823E-06  4.1182020E-06 -3.1773972E-03
   ti49     49   6.7831934E-08  7.0950921E-07  6.4167727E-07  3.4111022E-07  3.0851351E-07  4.3620553E-02
   ti50     50   1.4359421E-07  7.7052880E-07  6.2693459E-07  3.7044654E-07  3.0142536E-07  8.9545764E-02
    v51     51  -1.3415274E-08  1.3682200E-06  1.3816352E-06  6.5779807E-07  6.6427958E-07 -4.2583160E-03
   cr52     52  -2.3824396E-07  5.6400851E-05  5.6639095E-05  2.7115795E-05  2.7231643E-05 -1.8515004E-03
   cr53     53  -3.7847713E-08  6.5080476E-06  6.5458953E-06  3.1288691E-06  3.1472164E-06 -2.5392117E-03
   cr54     54   1.4970362E-07  1.8098613E-06  1.6601576E-06  8.7012563E-07  7.9819102E-07  3.7475146E-02
   mn55     55   8.7689841E-07  5.0340139E-05  4.9463240E-05  2.4201991E-05  2.3781547E-05  7.6109553E-03
   fe54     54  -3.4530240E-06  3.2246433E-04  3.2591735E-04  1.5503094E-04  1.5669856E-04 -4.6466314E-03
   fe55     55   4.3984604E-15  4.3984604E-15  0.0000000E+00  2.1146444E-15  0.0000000E+00  0.0000000E+00
   fe56     56  -2.6026275E-05  5.2795913E-03  5.3056176E-03  2.5382652E-03  2.5509002E-03 -2.1564690E-03
   fe57     57   6.8407389E-06  1.3156392E-04  1.2472318E-04  6.3251886E-05  5.9965951E-05  2.3168761E-02
