# x density Mach
1.192570869990224880e-01 7.981357720696871105e-01 1.378211625758275716e+00
1.202346041055718517e-01 7.972708313839430572e-01 1.379706815675878273e+00
1.212121212121212155e-01 7.964107552147264846e-01 1.381196816840350783e+00
1.221896383186705792e-01 7.955554851027808461e-01 1.382681686693275624e+00
1.231671554252199430e-01 7.947049636977289166e-01 1.384161481616707379e+00
1.241446725317693067e-01 7.938591347292208722e-01 1.385636256960375512e+00
1.251221896383186705e-01 7.930179429790349399e-01 1.387106067067994219e+00
1.260997067448680342e-01 7.921813342540937608e-01 1.388570965302715399e+00
1.270772238514173980e-01 7.913492553603583834e-01 1.390031004071761833e+00
1.280547409579667617e-01 7.905216540775679146e-01 1.391486234850266790e+00
1.290322580645161255e-01 7.896984791347894106e-01 1.392936708204356222e+00
1.300097751710654892e-01 7.888796801867481445e-01 1.394382473813499335e+00
1.309872922776148529e-01 7.880652077909062747e-01 1.395823580492159044e+00
1.319648093841642167e-01 7.872550133852631582e-01 1.397260076210765645e+00
1.329423264907135804e-01 7.864490492668493316e-01 1.398692008116040109e+00
1.339198435972629442e-01 7.856472685708862924e-01 1.400119422550694992e+00
1.348973607038123079e-01 7.848496252505898774e-01 1.401542365072529384e+00
1.358748778103616717e-01 7.840560740575907017e-01 1.402960880472947647e+00
1.368523949169110354e-01 7.832665705229503450e-01 1.404375012794918165e+00
1.378299120234603992e-01 7.824810709387503005e-01 1.405784805350395406e+00
1.388074291300097629e-01 7.816995323402347040e-01 1.407190300737221289e+00
1.397849462365591267e-01 7.809219124884824170e-01 1.408591540855531621e+00
1.407624633431084904e-01 7.801481698535963627e-01 1.409988566923674913e+00
1.417399804496578819e-01 7.793782635983833584e-01 1.411381419493672684e+00
1.427174975562072456e-01 7.786121535625137868e-01 1.412770138466227454e+00
1.436950146627566094e-01 7.778498002471402328e-01 1.414154763105300638e+00
1.446725317693059731e-01 7.770911647999602101e-01 1.415535332052274109e+00
1.456500488758553369e-01 7.763362090007076555e-01 1.416911883339705636e+00
1.466275659824047006e-01 7.755848952470580926e-01 1.418284454404699968e+00
1.476050830889540644e-01 7.748371865409314774e-01 1.419653082101902442e+00
1.485826001955034281e-01 7.740930464751841766e-01 1.421017802716128431e+00
1.495601173020527919e-01 7.733524392206690967e-01 1.422378651974646635e+00
1.505376344086021556e-01 7.726153295136581889e-01 1.423735665059121080e+00
1.515151515151515194e-01 7.718816826436130096e-01 1.425088876617225386e+00
1.524926686217008831e-01 7.711514644412892361e-01 1.426438320773943502e+00
1.534701857282502468e-01 7.704246412671682531e-01 1.427784031142562471e+00
1.544477028347996106e-01 7.697011800002014903e-01 1.429126040835369649e+00
1.554252199413489743e-01 7.689810480268580717e-01 1.430464382474066598e+00
1.564027370478983381e-01 7.682642132304687843e-01 1.431799088199901648e+00
1.573802541544477018e-01 7.675506439808519321e-01 1.433130189683538003e+00
1.583577712609970656e-01 7.668403091242145253e-01 1.434457718134662718e+00
1.593352883675464293e-01 7.661331779733212555e-01 1.435781704311342333e+00
1.603128054740957931e-01 7.654292202979200432e-01 1.437102178529137575e+00
1.612903225806451568e-01 7.647284063154172751e-01 1.438419170669982705e+00
1.622678396871945206e-01 7.640307066817947357e-01 1.439732710190836151e+00
1.632453567937438843e-01 7.633360924827613525e-01 1.441042826132109989e+00
1.642228739002932481e-01 7.626445352251313148e-01 1.442349547125886255e+00
1.652003910068426118e-01 7.619560068284204624e-01 1.443652901403927657e+00
1.661779081133919755e-01 7.612704796166587240e-01 1.444952916805483101e+00
1.671554252199413393e-01 7.605879263104063925e-01 1.446249620784901824e+00
1.681329423264907030e-01 7.599083200189716836e-01 1.447543040419057014e+00
1.691104594330400668e-01 7.592316342328218060e-01 1.448833202414587573e+00
1.700879765395894305e-01 7.585578428161827702e-01 1.450120133114960241e+00
1.710654936461387943e-01 7.578869199998209405e-01 1.451403858507361422e+00
1.720430107526881858e-01 7.572188403740033324e-01 1.452684404229418469e+00
1.730205278592375495e-01 7.565535788816271090e-01 1.453961795575762883e+00
1.739980449657869133e-01 7.558911108115181632e-01 1.455236057504432967e+00
1.749755620723362770e-01 7.552314117918899061e-01 1.456507214643124382e+00
1.759530791788856408e-01 7.545744577839609279e-01 1.457775291295291265e+00
1.769305962854350045e-01 7.539202245079699161e-01 1.459040312544860774e+00
1.779081133919843682e-01 7.532686897133816784e-01 1.460302299858699193e+00
1.788856304985337320e-01 7.526198297505293233e-01 1.461561277709912066e+00
1.798631476050830957e-01 7.519736218518013882e-01 1.462817269163182887e+00
1.808406647116324595e-01 7.513300435528756926e-01 1.464070296987380226e+00
1.818181818181818232e-01 7.506890726871870978e-01 1.465320383660854597e+00
1.827956989247311870e-01 7.500506873805244945e-01 1.466567551376611434e+00
1.837732160312805507e-01 7.494148660457523592e-01 1.467811822047368153e+00
1.847507331378299145e-01 7.487815873776515474e-01 1.469053217310497095e+00
1.857282502443792782e-01 7.481508303478813238e-01 1.470291758532852322e+00
