# x_cm rho_gcm3 Pgas_ergcm3 Erad_ergcm3
3.753665689149560336e+00 1.019009530611391545e+00 9.900283038435986250e+14 4.278928393523466000e+15
3.878787878787878896e+00 1.019651605886241486e+00 9.905598142206365000e+14 4.277333861675345000e+15
4.003910068426197455e+00 1.020294232661002942e+00 9.910916599343102500e+14 4.275738323698932000e+15
4.129032258064516014e+00 1.020937411640952863e+00 9.916238412492115000e+14 4.274141778806489000e+15
4.254154447702834574e+00 1.021581143533448532e+00 9.921563584308168750e+14 4.272544226207499000e+15
4.379276637341153133e+00 1.022225429047926459e+00 9.926892117454828750e+14 4.270945665108664500e+15
4.504398826979471693e+00 1.022870268895903711e+00 9.932224014604453750e+14 4.269346094713929500e+15
4.629521016617791140e+00 1.023515663790976582e+00 9.937559278438147500e+14 4.267745514224484500e+15
4.754643206256109700e+00 1.024161614448821478e+00 9.942897911645725000e+14 4.266143922838782500e+15
4.879765395894428259e+00 1.024808121587194698e+00 9.948239916925695000e+14 4.264541319752540000e+15
5.004887585532746819e+00 1.025455185925931989e+00 9.953585296985211250e+14 4.262937704158760500e+15
5.130009775171065378e+00 1.026102808186949433e+00 9.958934054540060000e+14 4.261333075247737500e+15
5.255131964809383938e+00 1.026750989094242783e+00 9.964286192314605000e+14 4.259727432207068000e+15
5.380254154447702497e+00 1.027399729373887238e+00 9.969641713041771250e+14 4.258120774221659000e+15
5.505376344086021945e+00 1.028049029754038557e+00 9.975000619463012500e+14 4.256513100473743000e+15
5.630498533724340504e+00 1.028698890964931500e+00 9.980362914328270000e+14 4.254904410142894500e+15
5.755620723362659064e+00 1.029349313738881389e+00 9.985728600395948750e+14 4.253294702406027500e+15
5.880742913000977623e+00 1.030000298810282988e+00 9.991097680432882500e+14 4.251683976437414500e+15
6.005865102639296182e+00 1.030651846915610736e+00 9.996470157214292500e+14 4.250072231408698500e+15
6.130987292277614742e+00 1.031303958793419628e+00 1.000184603352377750e+15 4.248459466488904000e+15
6.256109481915933301e+00 1.031956635184343440e+00 1.000722531215325125e+15 4.246845680844439500e+15
6.381231671554251861e+00 1.032609876831096729e+00 1.001260799590293750e+15 4.245230873639122000e+15
6.506353861192570420e+00 1.033263684478473277e+00 1.001799408758131250e+15 4.243615044034178000e+15
6.631476050830889868e+00 1.033918058873347201e+00 1.002338359000510125e+15 4.241998191188260500e+15
6.756598240469208427e+00 1.034573000764671846e+00 1.002877650599921000e+15 4.240380314257452500e+15
6.881720430107526987e+00 1.035228510903480670e+00 1.003417283839672500e+15 4.238761412395290500e+15
7.006842619745845546e+00 1.035884590042887243e+00 1.003957259003886000e+15 4.237141484752763500e+15
